epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,11328.8,1.35592,4.14131,1.76049,0.71727,0.39971,0.42859,0.18689,2.33642,7.69453,3.22727,0.000316888,0.000316888,0.000316888
85,11456.2,1.35242,4.08872,1.75325,0.66554,0.38545,0.37878,0.16176,2.34634,7.48917,3.30779,0.000313112,0.000313112,0.000313112
86,11585.6,1.37097,4.10813,1.75433,0.70684,0.38903,0.38972,0.17391,2.28752,8.0074,3.24672,0.00030932,0.00030932,0.00030932
87,11713.7,1.37141,4.15961,1.75929,0.71899,0.3797,0.42118,0.17891,2.33492,8.58611,3.4502,0.000305513,0.000305513,0.000305513
88,11840.6,1.3528,4.06006,1.7575,0.66009,0.40072,0.40976,0.18011,2.33829,7.2475,3.27057,0.000301693,0.000301693,0.000301693
89,11971.7,1.34896,4.07023,1.7454,0.5987,0.40819,0.41061,0.18407,2.3243,7.31228,3.24943,0.000297861,0.000297861,0.000297861
90,12103.4,1.35259,3.99745,1.74985,0.6631,0.40718,0.45757,0.20468,2.278,7.21603,3.21707,0.000294017,0.000294017,0.000294017
91,12232.7,1.35306,4.09921,1.74359,0.61014,0.4021,0.4176,0.18272,2.29751,7.17722,3.19295,0.000290163,0.000290163,0.000290163
92,12367.4,1.329,3.92339,1.72713,0.78141,0.38817,0.4309,0.19762,2.31846,6.83133,3.26353,0.000286299,0.000286299,0.000286299
93,12533.7,1.33181,3.93754,1.72087,0.66436,0.39767,0.43311,0.19073,2.31509,7.53588,3.22891,0.000282427,0.000282427,0.000282427
94,12798.5,1.33422,3.95186,1.72379,0.71043,0.40069,0.4564,0.19094,2.30521,7.37828,3.2044,0.000278546,0.000278546,0.000278546
95,13020.2,1.32837,3.98943,1.72724,0.6822,0.39187,0.43287,0.19589,2.31097,7.30341,3.27666,0.000274659,0.000274659,0.000274659
96,13148.4,1.32837,3.90645,1.72892,0.68777,0.3799,0.43125,0.19345,2.30668,7.34747,3.26585,0.000270767,0.000270767,0.000270767
